IMEI;868428044595035
Rango desde;16/7/2026, 23:40:56
Rango hasta;17/7/2026, 0:22:40
Nota;Primera columna: fecha (created_at o fecha si falta created_at)

Fecha;Set temperatura;Suministro;Retorno;Evaporador;Aire ambiente;USDA1;USDA2;USDA3;USDA4;Voltaje línea;Frecuencia línea;Consumo fase 1;Consumo fase 2;Consumo fase 3;Humedad relativa
17/7/2026, 0:20:34;-4;4.8;9.5;10.9;24.5;NA;NA;NA;NA;412;60;12.9;12.8;12.2;—
17/7/2026, 0:18:33;-4;4.7;9.6;10.9;24.4;NA;NA;NA;NA;410;60;13;12.9;12.3;—
17/7/2026, 0:16:31;-4;4.7;9.2;10.5;23.4;NA;NA;NA;NA;409;60;13.3;13.3;12.6;—
17/7/2026, 0:14:30;-4;4.5;9.1;10.4;23.6;NA;NA;NA;NA;414;60;13.1;13.1;12.3;—
17/7/2026, 0:12:29;-4;4.6;9.3;10.8;24.6;NA;NA;NA;NA;411;60;13.1;13.2;12.5;—
17/7/2026, 0:10:27;-4;4.6;9.2;10.7;25.1;NA;NA;NA;NA;409;60;12.9;13;12.3;—
17/7/2026, 0:08:26;-4;4.4;8.9;10.3;23.2;NA;NA;NA;NA;409;60;13.2;13.2;12.7;—
17/7/2026, 0:06:11;-4;4.3;8.9;10.2;23.3;NA;NA;NA;NA;406;60;13.3;13.2;12.7;—
17/7/2026, 0:04:10;-4;4;8.7;10.2;23.3;NA;NA;NA;NA;409;60;13.2;13.2;12.6;—
17/7/2026, 0:02:07;-4;4.1;8.9;10.5;24.6;NA;NA;NA;NA;408;60;12.9;12.9;12.4;—
17/7/2026, 0:00:00;-4;4;8.6;10.4;24.5;NA;NA;NA;NA;407;60;12.9;12.9;12.3;—
16/7/2026, 23:57:49;-4;3.5;8.3;9.8;24;NA;NA;NA;NA;407;60;13.2;13.2;12.6;—
16/7/2026, 23:55:43;-4;3.3;7.9;9.8;24.9;NA;NA;NA;NA;407;60;12.9;12.9;12.2;—
16/7/2026, 23:53:42;-4;3;7.7;9.6;24.8;NA;NA;NA;NA;407;60;12.9;12.8;12.3;—
16/7/2026, 23:51:29;-4;3.2;7.8;9.7;24.7;NA;NA;NA;NA;407;60;12.8;12.8;12.3;—
16/7/2026, 23:49:41;-4;3;7.6;9.5;24.5;NA;NA;NA;NA;406;60;12.9;12.8;12.3;—
16/7/2026, 23:47:12;-4;—;—;—;—;NA;NA;NA;NA;—;—;—;—;—;—
16/7/2026, 23:45:11;-4;2.4;7;8.6;24.8;NA;NA;NA;NA;406;60;13;13;12.4;—
16/7/2026, 23:43:07;-4;1.9;6.9;8.4;24.8;NA;NA;NA;NA;408;60;13;13;12.4;—
16/7/2026, 23:40:56;-4;-2.2;5.2;1.8;23.1;NA;NA;NA;NA;412;60;11;10.9;10.3;—
