IMEI;866262034780196
Rango desde;13/7/2026, 16:00:45
Rango hasta;13/7/2026, 16:35:26
Nota;Primera columna: fecha (created_at o fecha si falta created_at)

Fecha;Set temperatura;Suministro;Retorno;Evaporador;Aire ambiente;USDA1;USDA2;USDA3;USDA4;Voltaje línea;Frecuencia línea;Consumo fase 1;Consumo fase 2;Consumo fase 3;Humedad relativa
13/7/2026, 16:33:23;-20;-19.2;-9.6;-10.1;27.2;NA;NA;NA;NA;439;60;11.2;11.5;10.6;97
13/7/2026, 16:31:22;-20;-18.9;-8.7;-9.4;27.4;NA;NA;NA;NA;439;60;11.4;11.7;10.8;97
13/7/2026, 16:29:20;-20;-16.7;-6;-7.6;26.5;NA;NA;NA;NA;440;60;11.3;11.6;10.8;97
13/7/2026, 16:27:18;-20;-11.9;-1.5;-4.7;27.4;NA;NA;NA;NA;439;60;12.1;12.3;11.5;97
13/7/2026, 16:25:16;-20;-7.4;9.9;-6;27.3;NA;NA;NA;NA;436;60;12.5;12.8;12;97
13/7/2026, 16:23:14;-20;-7.2;11.6;11.7;26.9;NA;NA;NA;NA;439;60;10.7;10.9;10.1;97
13/7/2026, 16:21:13;-20;-6.8;9.9;24.3;26.7;NA;NA;NA;NA;455;60;0;0;0;—
13/7/2026, 16:19:12;-20;-6.4;5.9;23.1;27.3;NA;NA;NA;NA;453;60;0;0;0;—
13/7/2026, 16:17:10;-20;-6.4;1.8;16.9;27.3;NA;NA;NA;NA;446;60;5.1;5.1;5.1;—
13/7/2026, 16:15:08;-20;-6.6;0.3;12.8;27.3;NA;NA;NA;NA;445;60;5.1;5.1;5.1;—
13/7/2026, 16:13:06;-20;-7.1;-2.4;4.6;27.4;NA;NA;NA;NA;444;60;5.1;5.1;5.1;—
13/7/2026, 16:11:04;-20;-8;-4.6;0.5;27.6;NA;NA;NA;NA;445;60;5.1;5.1;5.1;—
13/7/2026, 16:08:51;-20;-9.2;-5.5;0.1;27.7;NA;NA;NA;NA;445;60;5.1;5.1;5.1;—
13/7/2026, 16:06:49;-20;-10.7;-6.3;0;27.8;NA;NA;NA;NA;443;60;5.1;5.1;5;—
13/7/2026, 16:04:48;-20;-12.7;-7;-0.4;27.8;NA;NA;NA;NA;444;60;5.1;5.1;5.1;—
13/7/2026, 16:02:46;-20;-14.9;-7.8;-2.4;27.7;NA;NA;NA;NA;445;60;5.1;5.1;5.1;—
13/7/2026, 16:00:45;-20;-17.2;-8.8;-8.5;27.8;NA;NA;NA;NA;448;60;5.1;5.2;5.1;—
