IMEI;868428044595035
Rango desde;4/7/2026, 14:51:01
Rango hasta;4/7/2026, 16:08:47
Nota;Primera columna: fecha (created_at o fecha si falta created_at)

Fecha;Set temperatura;Suministro;Retorno;Evaporador;Aire ambiente;USDA1;USDA2;USDA3;USDA4;Voltaje línea;Frecuencia línea;Consumo fase 1;Consumo fase 2;Consumo fase 3;Humedad relativa
4/7/2026, 16:06:45;-4;-1.6;5.1;1.2;24.8;NA;NA;NA;NA;425;60;12.6;12.8;12;—
4/7/2026, 16:04:44;-4;-1.4;5.2;1.4;26;NA;NA;NA;NA;425;60;12.8;12.8;12;—
4/7/2026, 16:02:42;-4;-1.2;5.4;2;26.1;NA;NA;NA;NA;427;60;12.8;12.8;12.1;—
4/7/2026, 16:00:41;-4;-1.1;5.6;2.1;26.1;NA;NA;NA;NA;424;60;12.9;12.9;12.3;—
4/7/2026, 15:58:40;-4;-1;5.9;2.4;25.9;NA;NA;NA;NA;426;60;12.9;12.9;12.2;—
4/7/2026, 15:56:39;-4;-1.4;6.2;2.4;25.5;NA;NA;NA;NA;426;60;12.8;12.9;12.2;—
4/7/2026, 15:54:38;-4;-2.5;7.1;1;25.4;NA;NA;NA;NA;427;60;12.7;12.8;12.1;—
4/7/2026, 15:52:36;-4;-3.2;7.8;0.8;25.5;NA;NA;NA;NA;428;60;11.2;11.2;10.5;—
4/7/2026, 15:50:35;-4;-2.3;8.5;1.5;26;NA;NA;NA;NA;433;60;11.2;11.2;10.5;—
4/7/2026, 15:48:34;-4;-0.3;9.5;3;25.5;NA;NA;NA;NA;431;60;11.2;11.2;10.5;—
4/7/2026, 15:46:33;-4;3.7;11.2;6.4;25.2;NA;NA;NA;NA;430;60;11.5;11.5;10.8;—
4/7/2026, 15:44:32;-4;8;16.7;7.8;25.2;NA;NA;NA;NA;433;60;8.8;8.7;8.2;—
4/7/2026, 15:42:31;-4;9.5;15.7;24.9;24.7;NA;NA;NA;NA;446;60;0;0;0;—
4/7/2026, 15:40:29;-4;10;13.3;22.8;24.8;NA;NA;NA;NA;445;60;0;0;0;—
4/7/2026, 15:38:28;-4;10;11.8;21;25;NA;NA;NA;NA;444;60;0;0;0;—
4/7/2026, 15:36:27;-4;9.3;9.7;16.5;25.2;NA;NA;NA;NA;436;60;5;5;5;—
4/7/2026, 15:34:26;-4;8.2;8.4;11.1;25.3;NA;NA;NA;NA;438;60;5;5;5;—
4/7/2026, 15:32:25;-4;6.7;7.9;5.6;25.5;NA;NA;NA;NA;439;60;5.1;5.1;5;—
4/7/2026, 15:30:24;-4;4.9;7.5;2.6;25.6;NA;NA;NA;NA;439;60;5.1;5.1;5.1;—
4/7/2026, 15:28:22;-4;3.1;7.1;1.3;25.6;NA;NA;NA;NA;443;60;5.1;5.1;5.1;—
4/7/2026, 15:26:21;-4;1.2;6.6;0.9;25.6;NA;NA;NA;NA;439;60;5.1;5.1;5.1;—
4/7/2026, 15:23:19;-4;-0.4;6.1;0.9;25.8;NA;NA;NA;NA;431;60;5;5;5;—
4/7/2026, 15:21:17;-4;-1;5.7;1.5;26.5;NA;NA;NA;NA;439;60;5.2;5.3;5.2;—
4/7/2026, 15:19:16;-4;-0.8;5.7;2.1;25.5;NA;NA;NA;NA;428;60;12.6;12.8;12.1;—
4/7/2026, 15:17:15;-4;-0.5;5.9;—;—;NA;NA;NA;NA;—;—;—;—;—;—
4/7/2026, 15:15:14;-4;-0.3;6.1;2.9;25.7;NA;NA;NA;NA;430;60;12.8;12.9;12.1;—
4/7/2026, 15:13:13;-4;-0.2;6.3;3.1;26.1;NA;NA;NA;NA;430;60;12.8;12.9;12.2;—
4/7/2026, 15:11:12;-4;-0.9;6.9;2.2;26.2;NA;NA;NA;NA;429;60;12.8;12.9;12.2;—
4/7/2026, 15:09:11;-4;-3.1;7.9;1.1;26.6;NA;NA;NA;NA;433;60;10.8;10.9;10.1;—
4/7/2026, 15:07:10;-4;-2.8;8;1.7;26.5;NA;NA;NA;NA;433;60;10.8;10.8;10.1;—
4/7/2026, 15:05:09;-4;-2.2;8.4;2.1;26.2;NA;NA;NA;NA;429;60;11;11.1;10.4;—
4/7/2026, 15:03:07;-4;-1.7;8.8;3.6;27.1;NA;NA;NA;NA;431;60;10.9;11;10.3;—
4/7/2026, 15:01:06;-4;-0.7;9.3;4.4;26.2;NA;NA;NA;NA;431;60;11.4;11.5;10.7;—
4/7/2026, 14:59:05;-4;0.1;9.7;5.3;26.4;NA;NA;NA;NA;432;60;11.6;11.6;10.9;—
4/7/2026, 14:57:04;-4;1.4;9.9;6.5;26.3;NA;NA;NA;NA;435;60;11.1;11.1;10.4;—
4/7/2026, 14:55:03;-4;5.3;10.3;9.8;26.4;NA;NA;NA;NA;433;60;11.3;11.3;10.6;—
4/7/2026, 14:53:02;-4;4.8;15.1;11.3;24.6;NA;NA;NA;NA;430;60;12.9;13;12.1;—
4/7/2026, 14:51:01;-4;2.3;16.4;8.7;24.4;NA;NA;NA;NA;446;60;1.2;1.2;1.1;—
