IMEI;868428044595035
Rango desde;23/7/2026, 22:25:12
Rango hasta;23/7/2026, 23:32:57
Nota;Primera columna: fecha (created_at o fecha si falta created_at)

Fecha;Set temperatura;Suministro;Retorno;Evaporador;Aire ambiente;USDA1;USDA2;USDA3;USDA4;Voltaje línea;Frecuencia línea;Consumo fase 1;Consumo fase 2;Consumo fase 3;Humedad relativa
23/7/2026, 23:30:55;-4;1.1;5.6;4.4;22.8;NA;NA;NA;NA;415;60;12.9;13;12.2;—
23/7/2026, 23:28:53;-4;2.2;6.7;5.9;23.1;NA;NA;NA;NA;415;60;12.9;12.8;12.1;—
23/7/2026, 23:26:52;-4;3.8;8.5;8.3;23.6;NA;NA;NA;NA;414;60;12.8;12.8;12;—
23/7/2026, 23:24:48;-4;7.1;12;12.7;23.6;NA;NA;NA;NA;410;60;13.5;13.5;12.7;—
23/7/2026, 23:22:43;-4;7.7;13;13.3;23.8;NA;NA;NA;NA;413;60;13;13;12.2;—
23/7/2026, 23:20:39;-4;7.3;12.6;12.6;22.6;NA;NA;NA;NA;412;60;13.5;13.5;12.7;—
23/7/2026, 23:18:33;-4;7.6;12.6;12.8;22.3;NA;NA;NA;NA;413;60;13.4;13.3;12.7;—
23/7/2026, 23:16:23;-4;7.4;12.5;12.9;22.2;NA;NA;NA;NA;416;60;13.3;13.3;12.5;—
23/7/2026, 23:14:22;-4;7.1;12.1;12.7;23.7;NA;NA;NA;NA;416;60;12.9;12.8;12.1;—
23/7/2026, 23:12:15;-4;7.5;12.6;13;23.8;NA;NA;NA;NA;414;60;13;12.9;12.2;—
23/7/2026, 23:10:11;-4;7.6;12.5;12.9;23.1;NA;NA;NA;NA;409;60;13.6;13.4;12.7;—
23/7/2026, 23:07:56;-4;7.4;12.5;12.9;23.8;NA;NA;NA;NA;407;60;13.6;13.6;12.7;—
23/7/2026, 23:05:54;-4;7.4;12.5;12.8;23.4;NA;NA;NA;NA;408;60;13.7;13.6;12.9;—
23/7/2026, 23:03:52;-4;7.1;12.2;12.6;22.9;NA;NA;NA;NA;409;60;13.5;13.4;12.7;—
23/7/2026, 23:01:51;-4;6.9;11.9;12.6;24.3;NA;NA;NA;NA;412;60;12.9;12.9;12.1;—
23/7/2026, 22:59:50;-4;7;12.1;12.6;24.5;NA;NA;NA;NA;409;60;13;13;12.2;—
23/7/2026, 22:57:47;-4;7.2;12.4;12.9;24.7;NA;NA;NA;NA;409;60;13.1;13;12.3;—
23/7/2026, 22:55:44;-4;7.1;12.6;13;24.2;NA;NA;NA;NA;407;60;13.1;13.1;12.3;—
23/7/2026, 22:53:43;-4;7;11.9;12.5;23.7;NA;NA;NA;NA;412;60;12.9;12.9;12.1;—
23/7/2026, 22:51:40;-4;7.1;12.1;12.7;24.2;NA;NA;NA;NA;414;60;12.9;12.9;12.2;—
23/7/2026, 22:49:38;-4;6.8;11.6;12.5;24.1;NA;NA;NA;NA;410;60;12.9;12.9;12.1;—
23/7/2026, 22:47:37;-4;6.7;11.7;12.3;23.9;NA;NA;NA;NA;411;60;12.9;12.9;12.1;—
23/7/2026, 22:45:35;-4;6.8;11.6;12.3;24;NA;NA;NA;NA;415;60;12.8;12.8;12.1;—
23/7/2026, 22:43:32;-4;6.9;11.7;12.3;23.3;NA;NA;NA;NA;416;60;12.8;12.8;12.1;—
23/7/2026, 22:41:28;-4;6.9;11.7;12.3;23.4;NA;NA;NA;NA;414;60;12.9;12.8;12.1;—
23/7/2026, 22:39:25;-4;6.9;11.8;12.3;23.8;NA;NA;NA;NA;416;60;12.8;12.6;12;—
23/7/2026, 22:37:22;-4;6.6;11.2;11.7;23.6;NA;NA;NA;NA;410;60;12.9;12.9;12.2;—
23/7/2026, 22:35:19;-4;6.5;11.5;11.8;23.9;NA;NA;NA;NA;413;60;12.8;12.7;12.1;—
23/7/2026, 22:33:17;-4;6.1;10.8;11.2;23.5;NA;NA;NA;NA;412;60;12.9;12.9;12.2;—
23/7/2026, 22:31:16;-4;5.6;10.7;10.9;22.8;NA;NA;NA;NA;411;60;13.3;13.2;12.5;—
23/7/2026, 22:29:14;-4;5.6;10.2;10.7;23.1;NA;NA;NA;NA;412;60;12.8;12.6;12.1;—
23/7/2026, 22:27:13;-4;0.8;12.3;9.9;23;NA;NA;NA;NA;407;60;12.8;12.8;12.2;—
23/7/2026, 22:25:12;-4;-3.2;7.1;-0.4;23.2;NA;NA;NA;NA;426;60;0.6;0.7;0.6;—
